uname,treatment,experiment,phase,session,time,shape,reinforcement
hut,1,3,1,4,36,sq,1
hut,1,3,1,4,46,sq,1
hut,1,3,1,4,56,sq,1
hut,1,3,1,4,67,sq,1
hut,1,3,1,4,78,sq,1
hut,1,3,1,4,88,sq,1
hut,1,3,1,5,18,sq,1
hut,1,3,1,5,28,sq,0
hut,1,3,1,5,38,sq,1
hut,1,3,1,5,49,sq,1
hut,1,3,1,5,59,sq,1
hut,1,3,1,5,69,sq,0
hut,1,3,1,5,80,sq,1
hut,1,3,1,5,90,sq,0
hut,1,3,1,6,15,sq,1
hut,1,3,1,6,26,sq,0
hut,1,3,1,6,35,sq,1
hut,1,3,1,6,45,sq,0
hut,1,3,1,6,55,sq,1
hut,1,3,1,6,64,sq,1
hut,1,3,1,6,75,sq,1
hut,1,3,1,6,86,sq,1
hut,1,3,2,1,10,sq,0
hut,1,3,2,1,21,sq,0
hut,1,3,2,1,58,tr,1
hut,1,3,2,1,78,tr,0
hut,1,3,2,2,16,tr,1
hut,1,3,2,2,25,di,1
hut,1,3,2,2,33,di,0
hut,1,3,2,2,42,di,0
hut,1,3,2,2,49,di,0
hut,1,3,2,2,81,ci,1
hut,1,3,2,2,90,tr,1
hut,1,3,2,3,19,ci,1
hut,1,3,2,3,35,ci,0
hut,1,3,2,3,90,tr,1
hut,1,3,2,4,18,tr,1
hut,1,3,2,4,25,di,1
hut,1,3,2,4,48,ci,1
hut,1,3,2,4,55,di,0
hut,1,3,2,4,78,tr,1
hut,1,3,2,4,88,tr,0
hut,1,3,2,5,17,tr,1
hut,1,3,2,5,27,di,1
hut,1,3,2,5,32,di,0
hut,1,3,2,5,42,di,0
hut,1,3,2,5,50,di,0
hut,1,3,2,5,59,di,0
hut,1,3,2,5,76,ci,1
hut,1,3,2,5,87,tr,1
hut,1,3,2,6,8,tr,1
hut,1,3,2,6,18,tr,0
hut,1,3,2,6,26,tr,0
hut,1,3,2,6,41,ci,1
hut,1,3,2,6,50,tr,0
hut,1,3,2,6,71,di,1
hut,1,3,2,6,80,di,0
hut,1,3,2,6,90,di,0
hut,1,3,6,1,14,tr,1
hut,1,3,6,1,23,di,1
hut,1,3,6,1,33,di,0
hut,1,3,6,1,43,di,0
hut,1,3,6,1,54,di,0
hut,1,3,6,1,65,di,0
hut,1,3,6,1,77,di,0
hut,1,3,6,2,8,ci,1
hut,1,3,6,2,18,tr,1
hut,1,3,6,2,51,tr,0
hut,1,3,6,2,61,tr,0
hut,1,3,6,2,69,tr,0
hut,1,3,6,3,7,tr,1
hut,1,3,6,3,18,ci,1
hut,1,3,6,3,28,di,1
hut,1,3,6,3,39,di,0
hut,1,3,6,3,49,di,0
hut,1,3,6,3,60,di,0
hut,1,3,6,3,70,di,0
hut,1,3,6,3,90,di,0
hut,1,3,6,4,16,tr,1
hut,1,3,6,4,26,di,1
hut,1,3,6,4,54,di,0
hut,1,3,6,4,65,di,0
hut,1,3,6,4,75,di,0
hut,1,3,6,4,89,tr,0
hut,1,3,6,5,9,tr,1
hut,1,3,6,5,19,tr,0
hut,1,3,6,5,30,tr,0
hut,1,3,6,5,41,tr,0
hut,1,3,6,5,51,tr,0
hut,1,3,6,5,62,tr,0
hut,1,3,6,5,72,tr,0
hut,1,3,6,5,82,tr,0
hut,1,3,6,6,13,tr,1
hut,1,3,6,6,22,tr,0
hut,1,3,6,6,31,tr,0
hut,1,3,6,6,42,tr,0
hut,1,3,6,6,51,tr,0
hut,1,3,6,6,61,tr,0
hut,1,3,6,6,72,tr,0
hut,1,3,6,6,83,tr,0
hut,1,3,4,1,80,sq,1
hut,1,3,4,1,89,sq,1
hut,1,3,4,2,8,sq,1
hut,1,3,4,2,19,sq,1
hut,1,3,4,2,30,sq,1
hut,1,3,4,2,39,sq,1
hut,1,3,4,2,48,sq,0
hut,1,3,4,2,59,sq,1
hut,1,3,4,2,69,sq,1
hut,1,3,4,2,77,sq,0
hut,1,3,4,2,86,sq,1
hut,1,3,4,3,16,sq,1
hut,1,3,4,3,27,sq,1
hut,1,3,4,3,34,sq,0
hut,1,3,4,3,43,sq,1
hut,1,3,4,3,54,sq,1
hut,1,3,4,3,65,sq,1
hut,1,3,4,3,72,sq,0
hut,1,3,4,3,81,sq,1
hut,1,3,4,4,9,sq,1
hut,1,3,4,4,20,sq,0
hut,1,3,4,4,28,sq,1
hut,1,3,4,4,38,sq,1
hut,1,3,4,4,48,sq,1
hut,1,3,4,4,58,sq,1
hut,1,3,4,4,69,sq,1
hut,1,3,4,4,79,sq,1
hut,1,3,4,5,7,sq,1
hut,1,3,4,5,19,sq,1
hut,1,3,4,5,27,sq,0
hut,1,3,4,5,38,sq,1
hut,1,3,4,5,49,sq,0
hut,1,3,4,5,58,sq,1
hut,1,3,4,5,68,sq,0
hut,1,3,4,5,80,sq,1
hut,1,3,4,5,90,sq,1
hut,1,3,4,6,10,sq,1
hut,1,3,4,6,21,sq,1
hut,1,3,4,6,32,sq,0
hut,1,3,4,6,40,sq,1
hut,1,3,4,6,51,sq,1
hut,1,3,4,6,63,sq,1
hut,1,3,4,6,73,sq,1
hut,1,3,4,6,84,sq,0
hut,1,3,5,1,18,sq,0
hut,1,3,5,1,29,sq,0
hut,1,3,5,1,53,tr,1
hut,1,3,5,1,65,tr,0
hut,1,3,5,1,69,tr,0
hut,1,3,5,1,79,tr,0
hut,1,3,5,2,34,di,1
hut,1,3,5,2,45,ci,1
hut,1,3,5,2,50,tr,1
hut,1,3,5,2,60,tr,0
hut,1,3,5,2,78,di,1
hut,1,3,5,2,88,di,0
hut,1,3,5,3,14,ci,1
hut,1,3,5,3,25,di,1
hut,1,3,5,3,30,di,0
hut,1,3,5,3,40,di,0
hut,1,3,5,3,48,di,0
hut,1,3,5,3,69,tr,1
hut,1,3,5,3,81,tr,0
hut,1,3,5,3,86,tr,0
hut,1,3,5,4,19,sq,0
hut,1,3,5,4,30,sq,0
hut,1,3,5,4,82,tr,1
hut,1,3,5,5,20,ci,1
hut,1,3,5,5,30,ci,0
hut,1,3,5,5,36,ci,0
hut,1,3,5,5,48,ci,0
hut,1,3,5,5,65,di,1
hut,1,3,5,5,76,ci,0
hut,1,3,5,5,83,ci,0
hut,1,3,5,6,10,tr,1
hut,1,3,5,6,22,tr,0
hut,1,3,5,6,25,tr,0
hut,1,3,5,6,35,tr,0
hut,1,3,5,6,53,di,1
hut,1,3,5,6,65,ci,1
hut,1,3,5,6,88,tr,1
hut,1,3,3,1,30,tr,0
hut,1,3,3,1,37,tr,0
hut,1,3,3,1,47,tr,0
hut,1,3,3,1,62,ci,0
hut,1,3,3,1,71,ci,0
hut,1,3,3,1,81,ci,0
hut,1,3,3,4,33,di,0
hut,1,3,3,4,40,di,0
hut,1,3,3,4,63,tr,0
hut,1,3,3,4,80,tr,0
hut,1,3,3,5,7,ci,0
hut,1,3,3,5,18,ci,0
